model,L1,L2,corr,synch corr,synch ARI,ph caus corr,ph caus ARI,ph amp corr,ph amp ARI
IPSL_CM5A_LR_5,199.99299939447872,26.353512394336018,0.87577463284608692,-0.029534646967354753,-0.024090331493864026,0.084348060848400061,0.071658243047625719,-0.0090199469575493515,-0.0073116025500058416
IPSL_CM5A_LR_ens_mean,195.98815289886383,28.001778194874703,0.69542319349079051,-0.0086969228497786877,-0.0074375680039516154,0.00932554622301285,0.0081062759588541641,-0.0057838084296904999,-0.0044823653559426281
IPSL_CM5A_LR_ens_std,47.37018411726779,9.1489917176038666,0.1933470932679979,0.040506340599229897,0.031287207518322903,0.042139581926312668,0.035608492255739761,0.01742759986838785,0.014577425869962938
MIROC5_0,743.84025840178708,99.738838071814754,0.82005974033200468,0.20357403491605913,0.16129200632869081,0.096395192334834998,0.07795383383950133,0.051248024995818257,0.038077942704309031
MIROC5_1,983.78752293646903,150.34464114179175,0.14810567909972705,0.24719473343167742,0.21283319464936601,-0.010913846521996657,-0.009037974352974083,-0.010786002374603924,-0.0091284114104835633
MIROC5_2,705.02469050149512,92.859018307769176,0.85018396707415167,0.27219770328272941,0.21862174561442879,-0.006250183813294694,-0.0052079248876649676,-0.01821964738085222,-0.015764092317835245
MIROC5_3,1013.6405180787509,148.16746761588021,0.52696837383719941,0.17337690897359986,0.12726224065288064,-0.026453890055619603,-0.019596961700520846,0.034056876440225745,0.02928654644301467
MIROC5_4,538.51353710713272,74.416606775445985,0.54712180647091291,0.17704038117175994,0.1301153745396911,-0.0014349274254929715,-0.0011522968546275876,-0.0033798287566027987,-0.00281266082754473
MIROC5_ens_mean,796.96130540512706,113.10531438254039,0.57848791336279914,0.2146767523551652,0.17002491235701148,0.010268468903686215,0.0085917352087427675,0.010583884584797013,0.007931864918292033
MIROC5_ens_std,199.9520895707353,34.283791129556498,0.28330313110311667,0.043622020593483433,0.04385168806111691,0.049053210895253559,0.039376029506427754,0.030355619227116805,0.024149558381864982
MRICGCM3_0,494.98758767035292,68.805308079894559,0.05798871980733477,-0.038374025130458171,-0.026932987182601724,-0.029210241897313537,-0.024345177885775154,0.0021108146568482996,0.0017703400432282864
MRICGCM3_1,222.480496451184,30.42823437298113,0.78608613581052578,0.0011450559477730719,0.00088979904473336473,0.03862043465036219,0.032554251323778878,0.088152860581937706,0.07606766561009988
MRICGCM3_2,150.15443825466602,23.489468265337099,0.79280555149542797,0.1651959779681163,0.13884540808058748,-0.017545851486588639,-0.014501763508523082,-0.0028132432476314457,-0.0024591048825072762
MRICGCM3_ens_mean,289.20750745873431,40.907670239404261,0.54562680237109618,0.04265566959514374,0.037600739980906378,-0.0027118862445133286,-0.0020975633568397858,0.029150143997051518,0.025126300256940296
MRICGCM3_ens_std,181.84291499117217,24.407893530239647,0.42232033139742747,0.10794690743335059,0.088777187229174687,0.036266859029025045,0.030410267955832408,0.051157130586644221,0.044167171962080878
CCSM4_0,306.29739661546421,41.792251053252841,0.82616252643613708,0.14972490002515454,0.12573351408358813,0.1912186913080699,0.16409993563135328,0.0035895442155007332,0.003024093012101557
CCSM4_1,320.18013376979508,46.135484860013456,0.73834808757547765,0.16002594887865701,0.13457310536978326,0.2554275557175677,0.21140198723338202,0.066286169143311924,0.057549418693004624
CCSM4_2,333.51786947609236,47.068985709953488,0.57100854432376136,0.11384181447049362,0.09488800787062622,0.11649760568823525,0.09775218693710705,0.0048115754698657403,0.0041653656924060751
CCSM4_3,215.03929052824242,26.694666652455517,0.9740399504896845,0.30046414116217163,0.25345508636599562,0.23612139264300411,0.20644902494722589,0.018782827667854073,0.016028998009046284
CCSM4_4,297.87150097345295,49.965684796868757,0.78211891079672158,0.17309048241973227,0.14580342014290437,0.17792904299620449,0.1523018758505976,0.0019317104093464301,0.0015842222500007622
CCSM4_5,397.93848386491874,55.469202781842014,0.83850441527121822,0.092707789290335199,0.073734223381884068,0.40521802369563853,0.36428645635057189,-0.0079169516737510482,-0.006855918728227499
